like_count,likes_to_follower_ratio,type_of_post,post_date
148897,6.204041666666667,0,2024-03-16T14:39:51.000Z
1338,0.05575,0,2024-07-09T15:37:24.000Z
3318,0.13825,0,2024-07-07T15:38:48.000Z
1051,0.043791666666666666,0,2024-07-05T14:53:34.000Z
1280,0.05333333333333334,0,2024-07-04T14:50:42.000Z
3385,0.14104166666666668,0,2024-07-03T16:33:49.000Z
5462,0.22758333333333333,0,2024-07-02T15:03:10.000Z
2492,0.10383333333333333,0,2024-07-01T14:47:46.000Z
5077,0.21154166666666666,0,2024-06-30T15:18:23.000Z
55604,2.3168333333333333,0,2024-06-29T15:54:57.000Z
2602,0.10841666666666666,0,2024-06-28T17:33:04.000Z
174111,7.254625,0,2024-06-27T15:11:03.000Z
2024,0.08433333333333333,0,2024-06-26T15:21:09.000Z
15975,0.665625,0,2024-06-25T14:50:33.000Z
3861,0.160875,0,2024-06-24T14:47:17.000Z
3431,0.14295833333333333,0,2024-06-23T14:59:53.000Z
5107,0.21279166666666666,0,2024-06-22T15:11:42.000Z
16149,0.672875,0,2024-06-21T15:03:23.000Z
102182,4.257583333333334,0,2024-06-20T15:51:46.000Z
3947,0.16445833333333335,0,2024-06-19T15:56:41.000Z
5606,0.23358333333333334,0,2024-06-17T15:56:04.000Z
5893,0.24554166666666666,0,2024-06-16T14:59:51.000Z
1653,0.068875,0,2024-06-15T14:54:24.000Z
4321,0.18004166666666666,0,2024-06-14T14:59:59.000Z
9255,0.385625,0,2024-06-13T14:53:03.000Z
51324,2.1385,0,2024-06-11T16:39:57.000Z
6668,0.2778333333333333,0,2024-06-10T18:40:27.000Z
2929,0.12204166666666667,0,2024-06-09T15:46:22.000Z
151298,6.304083333333334,0,2024-06-08T15:46:56.000Z
3387,0.141125,0,2024-06-08T14:49:08.000Z
4361,0.18170833333333333,0,2024-06-06T15:06:19.000Z
3587,0.14945833333333333,0,2024-06-05T16:02:40.000Z
6928,0.2886666666666667,0,2024-06-04T14:52:39.000Z
3805,0.15854166666666666,0,2024-06-02T15:25:47.000Z
47731,1.9887916666666667,0,2024-06-01T16:03:18.000Z
20733,0.863875,0,2024-05-30T15:19:49.000Z
14401,0.6000416666666667,0,2024-05-29T14:43:24.000Z
4948,0.20616666666666666,0,2024-05-28T14:51:39.000Z
1986,0.08275,0,2024-05-27T14:55:38.000Z
6095,0.25395833333333334,0,2024-05-25T15:10:35.000Z
27926,1.1635833333333334,0,2024-05-24T19:15:42.000Z
5012,0.20883333333333334,0,2024-05-24T12:52:33.000Z
7168,0.2986666666666667,0,2024-05-23T16:02:18.000Z
14295,0.595625,0,2024-05-22T14:56:46.000Z
27606,1.15025,0,2024-05-21T14:46:18.000Z
16797,0.699875,0,2024-05-20T14:49:03.000Z
3036,0.1265,0,2024-05-18T14:32:21.000Z
7251,0.302125,0,2024-05-17T14:37:08.000Z
273380,11.390833333333333,0,2024-05-15T14:31:23.000Z
15508,0.6461666666666667,0,2024-05-14T14:53:26.000Z
4305,0.179375,0,2024-05-13T14:59:59.000Z
39853,1.6605416666666666,0,2024-05-12T14:41:19.000Z
3577,0.14904166666666666,0,2024-05-10T16:11:26.000Z
6508,0.27116666666666667,0,2024-05-09T14:58:39.000Z
5078,0.21158333333333335,0,2024-05-08T15:36:40.000Z
9127,0.38029166666666664,0,2024-05-07T15:29:54.000Z
11486,0.47858333333333336,0,2024-05-05T16:03:31.000Z
1371,0.057125,0,2024-05-04T14:49:03.000Z
2618,0.10908333333333334,0,2024-05-03T15:23:17.000Z
4317,0.179875,0,2024-05-02T14:40:11.000Z
6107,0.25445833333333334,0,2024-05-01T15:24:08.000Z
4744,0.19766666666666666,0,2024-04-30T14:29:22.000Z
